세그먼트,시점,변수,효과%,단조성,형태
아파트 전세,2019Q1,편의점(개),-3.9301306690517643,-0.7999999999999999,역U자
아파트 전세,2019Q1,병원(개),25.578427310059805,0.8666666666666665,비단조
아파트 전세,2019Q1,지하철역까지 거리(m),-17.86824003541316,-0.9393939393939393,단조감소
아파트 전세,2019Q1,건축년도,58.01632188613307,0.9999999999999999,단조증가
아파트 전세,2019Q1,전용면적(㎡),-4.6535006794454565,-0.34545454545454546,역U자
아파트 전세,2020Q2,편의점(개),-4.551064175442239,-0.8787878787878788,역U자
아파트 전세,2020Q2,병원(개),26.47700490051934,0.8787878787878788,비단조
아파트 전세,2020Q2,지하철역까지 거리(m),-17.62176454104018,-0.9878787878787878,단조감소
아파트 전세,2020Q2,건축년도,61.75329220803087,0.9999999999999999,단조증가
아파트 전세,2020Q2,전용면적(㎡),6.696115420713403,0.09090909090909088,역U자
아파트 전세,2021Q4,편의점(개),-2.010552558923166,-0.7575757575757575,역U자
아파트 전세,2021Q4,병원(개),30.315784824128116,0.8787878787878788,비단조
아파트 전세,2021Q4,지하철역까지 거리(m),-9.211012703992996,-0.9636363636363635,단조감소
아파트 전세,2021Q4,건축년도,68.18824606716582,0.9999999999999999,단조증가
아파트 전세,2021Q4,전용면적(㎡),14.032137031919234,0.17575757575757575,역U자
아파트 전세,2022Q4,편의점(개),-2.084861054049276,-0.8303030303030302,U자
아파트 전세,2022Q4,병원(개),23.51156459969293,0.8060606060606059,비단조
아파트 전세,2022Q4,지하철역까지 거리(m),-20.437410221316096,-0.9878787878787878,단조감소
아파트 전세,2022Q4,건축년도,56.928152001537434,0.9757575757575757,단조증가
아파트 전세,2022Q4,전용면적(㎡),17.564235715617865,0.17575757575757575,역U자
아파트 월세,2019Q1,편의점(개),-7.9816376273279355,-0.6606060606060605,비단조
아파트 월세,2019Q1,병원(개),43.976064374901725,0.9878787878787878,단조증가
아파트 월세,2019Q1,지하철역까지 거리(m),-35.21965828783433,-0.9878787878787878,단조감소
아파트 월세,2019Q1,건축년도,82.40132165875096,0.9878787878787878,단조증가
아파트 월세,2019Q1,전용면적(㎡),108.7824012259047,0.9757575757575757,단조증가
아파트 월세,2020Q2,편의점(개),-12.44177138612746,-0.9151515151515152,단조감소
아파트 월세,2020Q2,병원(개),43.15221795682399,0.9878787878787878,단조증가
아파트 월세,2020Q2,지하철역까지 거리(m),-39.42878250626128,-0.9757575757575757,단조감소
아파트 월세,2020Q2,건축년도,89.65973223398841,0.9878787878787878,단조증가
아파트 월세,2020Q2,전용면적(㎡),112.52424103649344,0.9757575757575757,단조증가
아파트 월세,2021Q4,편의점(개),-1.0371987086616357,-0.28484848484848485,U자
아파트 월세,2021Q4,병원(개),44.44942640860433,0.9999999999999999,단조증가
아파트 월세,2021Q4,지하철역까지 거리(m),-31.63888828239361,-0.9999999999999999,단조감소
아파트 월세,2021Q4,건축년도,73.98249171929955,0.9878787878787878,단조증가
아파트 월세,2021Q4,전용면적(㎡),137.52606293490854,0.9878787878787878,단조증가
아파트 월세,2022Q4,편의점(개),0.277139630687875,-0.006060606060606061,U자
